alloy_id,Cr_wt,Ni_wt,Mo_wt,V_wt,C_wt,anneal_temp_C,anneal_time_h,process_type,yield_strength_MPa
AL1715,7.103,0.085,0.975,0.623,0.184,358.4,5.86,C,224.3
AL1716,9.49,10.015,0.411,0.823,0.389,659.4,,B,428.2
AL1717,4.832,3.645,2.839,0.372,0.202,513.5,8.46,B,558.4
AL1718,5.642,1.278,2.808,0.849,0.629,308.7,4.35,A,301.0
AL1719,15.441,5.389,3.554,0.12,0.183,506.0,4.2,B,711.0
AL1720,2.404,4.188,0.267,0.087,0.286,554.6,8.41,B,624.2
AL1721,3.483,7.394,2.705,0.332,0.134,426.5,1.1,A,306.6
AL1722,4.975,7.265,3.491,0.496,0.559,613.6,10.8,B,493.3
AL1723,3.497,1.863,0.936,0.333,0.131,669.0,8.81,B,225.7
AL1724,9.949,3.799,1.343,0.63,0.656,583.6,0.65,A,756.0
AL1725,6.323,2.007,2.237,0.479,0.06,300.4,3.58,A,268.3
AL1726,5.12,7.201,3.198,0.548,0.701,319.6,7.63,B,330.2
AL1727,1.346,7.363,0.354,0.158,0.61,369.8,3.16,A,270.5
AL1728,6.959,7.225,2.992,0.622,0.754,526.1,10.87,A,776.2
AL1729,2.734,6.835,1.014,0.802,0.719,301.6,4.78,A,320.0
AL1730,6.749,3.385,0.981,0.688,0.971,405.0,4.68,,350.3
AL1731,11.631,3.552,0.114,0.484,0.532,662.8,1.63,B,404.3
AL1732,14.944,7.87,0.692,0.604,0.875,697.2,7.74,B,440.8
AL1733,12.894,2.418,1.954,0.899,0.964,411.0,9.82,B,327.8
AL1734,9.946,9.223,0.626,0.262,0.793,520.5,5.18,B,899.6
AL1735,4.237,8.101,0.083,0.469,0.603,618.8,7.69,B,522.6
AL1736,11.926,6.067,1.359,0.568,0.292,607.8,4.47,C,543.8
AL1737,7.673,8.108,2.176,0.627,0.056,369.1,2.09,B,406.3
AL1738,2.286,3.091,0.595,0.918,0.587,349.9,11.5,A,85.3
AL1739,15.58,1.313,1.583,0.118,0.124,466.0,9.59,B,391.3
AL1740,6.649,8.664,1.383,0.337,0.726,524.6,1.72,C,781.6
AL1741,0.368,1.344,0.901,0.948,0.912,509.7,1.16,A,684.6
AL1742,4.478,1.827,0.623,0.06,0.809,410.9,4.05,C,261.6
AL1743,4.889,9.261,0.284,0.707,0.587,608.5,11.35,C,422.0
AL1744,16.507,7.877,1.108,0.281,0.232,683.7,,B,448.2
AL1745,8.952,2.488,2.3,0.683,0.973,469.6,1.28,B,557.5
AL1746,17.183,9.85,2.823,0.312,0.7,438.5,11.76,B,429.7
AL1747,7.437,8.532,3.445,0.014,0.617,441.8,0.96,B,420.3
AL1748,0.629,10.351,1.804,0.661,0.667,354.0,2.38,B,381.4
AL1749,2.004,10.453,0.872,0.624,0.387,390.3,0.62,C,270.7
AL1750,1.508,6.842,0.226,0.187,0.947,569.7,8.87,A,825.9
AL1751,5.943,5.476,1.543,0.313,0.536,699.0,7.92,C,234.7
AL1752,6.172,10.428,1.531,0.474,0.948,451.6,9.5,B,432.1
AL1753,6.553,1.124,1.63,0.066,0.484,375.2,8.52,A,230.0
AL1754,3.227,2.405,2.819,0.804,0.217,388.6,2.99,C,237.8
AL1755,1.731,11.481,3.556,0.962,0.88,560.0,0.75,B,973.9
AL1756,12.507,8.387,0.808,0.974,0.899,597.1,1.57,B,858.5
AL1757,11.228,11.661,0.423,0.315,0.517,518.2,0.58,B,821.2
AL1758,11.053,0.734,1.275,0.76,0.6,502.9,1.94,A,650.9
AL1759,2.573,9.984,1.428,0.773,0.991,311.7,5.45,A,319.7
AL1760,8.74,10.984,0.816,0.19,0.102,500.5,10.83,C,421.3
AL1761,13.752,4.993,3.696,0.505,0.59,537.2,10.59,B,851.3
AL1762,15.552,2.467,2.601,0.818,0.158,369.9,11.45,,317.2
AL1763,12.62,8.296,0.061,0.235,0.279,587.7,4.01,A,684.2
AL1764,7.425,2.305,2.577,0.853,0.228,407.8,1.93,A,290.4
AL1765,9.663,10.95,0.05,0.065,0.227,420.7,5.33,C,348.8
AL1766,15.562,2.587,0.131,0.266,0.166,381.9,10.03,A,313.3
AL1767,4.641,3.667,0.231,0.45,0.478,330.4,1.61,A,281.8
AL1768,12.088,7.515,2.556,0.814,0.244,399.9,9.87,A,307.5
AL1769,12.329,3.945,1.095,0.491,0.38,430.3,3.16,C,323.9
AL1770,0.075,2.317,3.983,0.513,0.454,666.8,5.63,C,232.0
AL1771,3.516,2.267,0.886,0.677,0.192,487.1,4.5,A,393.5
AL1772,16.882,11.041,2.99,0.515,0.918,638.3,4.37,A,660.0
AL1773,8.205,8.232,1.627,0.417,0.744,398.9,9.94,C,257.4
AL1774,11.994,8.241,1.985,0.826,0.516,310.3,7.57,A,374.2
AL1775,10.235,6.614,3.257,0.431,0.944,673.5,,B,426.3
AL1776,1.165,4.296,2.888,0.402,0.315,385.3,7.97,B,271.4
AL1777,12.212,4.534,0.61,0.56,0.676,569.8,,A,880.1
AL1778,17.252,10.607,2.701,0.31,0.774,509.8,10.83,A,805.8
AL1779,5.965,10.937,0.549,0.332,0.258,526.6,6.54,,711.8
AL1780,0.082,0.031,2.372,0.117,0.996,476.2,6.88,A,384.6
AL1781,0.497,3.521,3.377,0.779,0.722,521.6,5.78,B,787.8
AL1782,10.665,11.467,0.972,0.307,0.5,350.4,8.05,A,332.8
AL1783,8.237,8.126,3.602,0.658,0.844,416.5,4.63,B,458.8
AL1784,4.397,2.944,2.359,0.114,0.568,317.5,4.46,B,296.1
AL1785,14.282,11.504,1.243,0.069,0.35,440.0,8.97,A,424.2
AL1786,3.422,3.681,3.732,0.806,0.637,612.3,8.05,C,493.7
AL1787,6.352,7.061,2.064,0.325,0.065,521.0,5.03,C,577.0
AL1788,4.137,0.132,1.58,0.752,0.29,512.4,4.86,B,584.6
AL1789,13.151,2.313,0.847,0.032,0.119,603.0,5.24,B,567.5
AL1790,14.087,6.1,1.031,0.861,0.869,320.2,1.65,C,377.8
AL1791,6.301,11.888,0.458,0.006,0.465,452.8,4.0,C,395.1
AL1792,17.687,1.608,,0.732,0.345,359.7,5.54,A,363.9
AL1793,11.729,1.843,1.908,0.881,0.15,651.5,,B,374.3
AL1794,5.627,5.948,0.503,0.68,0.328,371.5,5.08,C,249.6
AL1795,13.115,5.928,3.77,0.329,0.224,460.2,6.06,C,466.1
AL1796,2.968,6.069,0.063,0.255,0.38,611.9,9.43,A,386.6
AL1797,1.86,7.411,3.94,0.07,0.793,316.6,7.65,B,301.9
AL1798,1.341,10.881,3.649,0.981,0.978,426.2,9.41,A,332.4
AL1799,10.967,1.767,0.887,0.329,0.67,358.8,9.03,A,269.3
AL1800,0.141,5.879,0.581,0.08,0.453,313.4,11.87,A,85.7
AL1801,2.437,10.495,2.663,0.716,0.801,447.9,7.51,A,393.1
AL1802,15.263,5.56,2.111,0.078,0.505,680.7,10.49,C,296.1
AL1803,10.22,0.121,2.687,0.728,0.158,473.1,7.95,B,385.6
AL1804,15.784,3.335,3.173,0.423,0.737,678.1,6.74,B,462.1
AL1805,4.908,9.991,0.351,0.641,0.056,375.7,5.38,B,319.4
AL1806,7.845,5.606,2.137,0.886,0.364,487.5,10.38,,491.5
AL1807,17.5,7.702,2.968,0.263,0.759,568.3,1.2,C,969.5
AL1808,7.748,4.927,1.727,0.679,0.935,664.7,10.51,A,263.7
AL1809,14.684,3.408,0.749,0.276,0.85,342.2,10.6,C,255.1
AL1810,1.195,1.08,1.094,0.955,0.087,460.6,0.57,,236.1
AL1811,10.522,11.574,0.593,0.04,0.569,652.2,8.55,A,375.8
AL1812,17.935,6.527,3.031,0.119,0.933,445.1,4.3,A,530.4
AL1813,4.33,7.546,3.413,0.648,0.101,303.9,6.76,A,288.2
AL1814,4.398,7.092,2.505,0.094,0.718,582.1,6.75,B,767.6
AL1815,0.087,8.813,0.068,0.671,0.241,424.5,11.82,B,163.8
AL1816,5.769,0.817,2.565,0.954,0.989,460.2,2.45,A,417.0
AL1817,6.906,7.414,3.335,0.121,0.497,569.8,4.99,B,818.9
AL1818,3.589,7.884,3.757,0.151,0.096,466.4,7.8,B,340.9
AL1819,6.735,7.103,0.039,0.647,0.364,457.9,9.19,C,274.8
AL1820,9.096,3.791,2.034,0.21,0.416,531.4,11.49,B,653.5
AL1821,15.35,11.25,3.753,0.102,0.667,302.3,3.0,B,554.8
AL1822,6.152,8.818,0.591,0.507,0.264,642.3,9.18,B,376.7
AL1823,3.153,11.806,3.258,0.214,0.543,466.3,6.61,A,445.7
AL1824,1.401,6.965,1.53,0.532,0.736,536.5,3.53,A,866.4
AL1825,9.557,4.644,3.248,0.634,0.944,700.0,1.32,A,395.3
AL1826,16.376,6.843,0.637,0.761,0.358,653.0,1.46,A,464.5
AL1827,8.678,10.452,1.052,0.942,0.283,506.7,3.44,A,628.4
AL1828,12.812,6.15,3.101,0.035,0.131,407.6,1.31,B,424.6
AL1829,1.734,4.715,3.163,0.727,0.661,552.5,4.5,C,810.3
AL1830,0.407,11.027,3.928,0.688,0.448,421.7,5.06,B,353.4
AL1831,13.047,10.189,1.124,0.579,0.834,464.7,9.33,A,499.6
AL1832,2.797,10.231,2.043,0.175,0.903,413.5,6.65,C,254.8
AL1833,5.132,2.118,1.406,0.261,0.982,674.8,7.14,B,341.6
AL1834,3.222,6.008,3.262,0.948,0.868,576.3,10.78,B,800.5
AL1835,3.22,1.532,3.583,0.869,0.679,346.8,3.13,B,382.9
AL1836,16.315,0.815,0.662,0.148,0.128,585.7,2.76,B,615.0
AL1837,3.385,7.389,1.26,0.08,0.309,347.9,6.35,C,218.0
AL1838,10.921,5.423,2.202,0.318,0.494,455.5,5.94,B,517.4
AL1839,1.134,0.955,3.012,0.934,0.248,394.5,6.57,B,292.9
AL1840,14.964,0.027,1.361,0.439,0.14,481.9,9.81,C,368.0
AL1841,8.12,3.215,0.986,0.091,0.158,604.9,8.18,A,390.9
AL1842,7.525,8.12,0.11,0.705,0.902,364.1,10.54,C,213.4
AL1843,0.944,5.706,3.919,0.622,0.623,520.9,10.23,A,613.6
AL1844,17.66,6.707,1.143,0.784,0.102,548.5,9.76,B,688.6
AL1845,17.054,11.09,2.854,0.57,0.116,634.8,2.7,B,585.5
AL1846,9.426,11.436,2.288,0.179,0.968,396.9,10.5,A,296.8
AL1847,12.423,0.667,2.922,0.415,0.94,545.5,4.47,A,991.7
AL1848,7.64,0.052,0.592,0.118,0.279,480.1,9.04,A,329.0
AL1849,17.414,3.025,2.74,0.757,0.233,425.9,1.89,A,424.8
AL1850,14.843,10.982,2.449,0.774,0.703,648.7,1.88,B,596.1
AL1851,4.36,2.714,2.172,0.14,0.693,679.9,7.2,B,289.7
AL1852,7.378,5.581,1.881,0.575,0.34,596.8,10.65,C,439.8
AL1853,17.185,5.333,1.023,0.499,0.595,698.5,11.65,B,313.1
AL1854,1.484,1.259,2.277,0.833,0.341,690.7,8.95,A,183.0
AL1855,1.078,5.87,1.616,0.815,0.262,625.8,6.27,B,383.5
AL1856,4.965,0.069,0.664,0.014,0.258,472.7,8.4,A,282.6
AL1857,9.357,9.501,3.218,0.537,0.878,582.2,2.44,C,882.6
AL1858,11.931,9.82,1.161,0.329,0.305,561.2,8.65,A,770.2
AL1859,12.568,8.063,2.128,0.979,0.728,420.3,,C,318.4
AL1860,5.914,4.814,2.383,0.298,0.285,469.0,5.94,A,384.1
AL1861,4.609,9.106,1.29,0.261,0.151,540.0,6.62,C,589.8
AL1862,15.636,3.248,0.345,0.483,0.682,501.3,6.43,A,708.4
AL1863,15.147,6.914,3.485,0.462,0.477,655.7,3.68,A,497.8
AL1864,13.391,10.04,1.479,0.584,0.119,374.7,3.0,B,464.9
AL1865,11.262,4.34,,0.968,0.337,581.4,8.71,A,630.9
AL1866,0.66,1.294,2.599,0.033,0.698,648.3,3.16,C,245.0
AL1867,2.547,2.867,0.814,0.441,0.305,448.7,4.69,,236.8
AL1868,6.551,0.795,3.996,0.263,0.696,613.1,2.26,C,564.3
AL1869,1.291,7.584,1.587,0.884,0.359,633.3,8.11,C,310.0
AL1870,7.622,6.178,,0.932,0.2,307.1,1.43,A,376.6
AL1871,7.094,8.705,0.342,0.466,0.47,446.0,5.67,A,351.3
AL1872,7.187,4.47,3.818,0.681,0.826,685.9,5.65,B,391.7
AL1873,3.636,8.611,0.467,0.716,0.388,471.2,11.32,A,275.5
AL1874,4.213,10.745,3.852,0.002,0.754,322.3,6.17,A,364.5
AL1875,16.31,0.684,2.361,0.637,0.79,430.1,11.25,A,331.7
AL1876,13.68,11.561,0.461,0.494,0.243,570.9,7.41,B,766.6
AL1877,7.617,10.243,3.238,0.808,0.438,467.6,4.63,A,530.2
AL1878,0.249,8.076,3.578,0.006,0.996,671.1,5.09,A,361.8
AL1879,15.984,7.498,0.318,0.433,0.206,601.9,3.21,C,566.6
AL1880,0.421,8.912,2.214,0.239,0.573,501.0,8.78,A,495.4
AL1881,14.18,5.914,0.765,0.145,0.867,527.9,5.24,A,921.8
AL1882,8.25,6.661,2.952,0.187,0.424,492.9,2.18,B,592.9
AL1883,2.086,1.991,2.852,0.357,0.941,409.5,6.81,C,239.9
AL1884,16.304,7.954,3.227,0.145,0.963,452.3,1.97,B,621.3
AL1885,8.476,11.565,0.51,0.132,0.307,658.4,9.72,A,331.6
AL1886,8.555,3.873,2.456,0.618,0.435,348.1,6.09,B,389.1
AL1887,7.718,5.66,1.448,0.071,0.727,490.8,3.58,A,570.6
AL1888,17.776,7.872,2.226,0.066,0.631,576.7,2.41,B,934.5
AL1889,1.314,11.334,3.344,0.097,0.509,469.8,11.42,A,330.7
AL1890,12.466,1.072,1.712,0.369,0.494,449.2,1.89,,403.9
AL1891,17.622,6.243,3.215,0.193,0.959,536.0,3.67,B,1096.1
AL1892,10.819,2.471,0.385,0.354,0.557,650.2,9.21,A,285.3
AL1893,4.559,10.426,2.579,0.838,0.377,631.5,,A,434.6
AL1894,6.07,9.974,2.683,0.951,0.713,474.5,4.41,B,603.8
AL1895,1.488,5.627,2.492,0.476,0.124,351.7,9.71,B,278.8
AL1896,4.982,6.18,1.539,0.266,0.679,344.1,4.75,B,351.1
AL1897,3.198,0.049,2.656,0.591,0.672,507.6,4.91,B,704.7
AL1898,16.196,5.721,1.103,0.403,0.232,469.5,10.46,C,351.7
AL1899,4.025,0.299,3.86,0.704,0.169,671.5,6.54,B,328.0
AL1900,0.947,4.376,,0.202,0.845,533.5,5.33,A,847.6
AL1901,15.94,1.905,3.447,0.572,0.626,553.0,9.44,A,846.5
AL1902,16.971,5.912,2.805,0.871,0.897,548.1,8.77,B,1042.9
AL1903,4.302,9.268,,0.648,0.295,386.5,5.49,C,290.0
AL1904,15.372,11.038,1.572,0.465,0.677,379.0,6.38,B,453.9
AL1905,15.036,1.021,3.848,0.264,0.644,567.1,6.48,B,955.6
AL1906,11.453,5.247,1.2,0.859,0.912,679.5,2.28,B,463.3
AL1907,10.348,8.393,3.003,0.18,0.967,622.3,9.92,B,558.7
AL1908,3.226,9.552,2.187,0.335,0.442,519.5,5.92,A,701.4
AL1909,3.997,10.134,1.822,0.304,0.869,564.4,6.97,B,901.5
AL1910,12.217,1.814,2.371,0.925,0.151,577.6,2.32,A,610.6
AL1911,2.996,6.984,2.343,0.665,0.432,644.4,5.31,A,361.2
AL1912,11.949,4.462,1.323,0.938,0.828,387.0,2.6,C,348.9
AL1913,16.869,2.919,3.182,0.739,0.193,408.4,0.67,A,415.8
AL1914,0.152,7.069,1.921,0.068,0.691,473.1,11.77,B,337.9
AL1915,6.214,8.802,,0.919,0.742,587.1,2.93,B,863.3
AL1916,2.715,2.11,3.625,0.431,0.467,495.1,7.85,B,468.9
AL1917,11.777,10.53,3.987,0.054,0.149,656.6,4.49,B,515.3
AL1918,13.923,1.947,2.014,0.272,0.608,650.1,4.23,C,410.3
AL1919,1.284,7.304,1.781,0.378,0.499,633.5,7.82,B,410.7
AL1920,0.528,11.629,0.633,0.005,0.897,356.5,3.06,B,333.3
AL1921,5.645,1.869,3.141,0.599,0.186,481.6,2.68,C,401.5
AL1922,3.482,2.888,1.11,0.695,0.723,584.1,2.21,B,796.1
AL1923,8.687,2.728,0.825,0.349,0.246,380.5,6.21,C,246.1
AL1924,9.466,3.956,2.449,0.093,0.41,637.8,4.81,A,407.1
AL1925,14.729,8.418,2.365,0.449,0.222,633.8,2.74,B,567.6
AL1926,17.441,11.633,0.878,0.474,0.858,410.0,4.48,C,478.3
AL1927,17.868,2.856,1.06,0.633,0.875,565.0,8.13,A,959.5
AL1928,16.743,2.171,3.86,0.637,0.223,610.5,10.97,A,452.5
AL1929,9.407,6.481,3.131,0.723,0.577,626.2,7.72,B,500.7
AL1930,1.843,4.105,3.082,0.103,0.589,310.7,9.8,B,214.0
AL1931,12.164,9.331,2.787,0.089,0.743,626.5,11.26,C,438.9
AL1932,12.948,8.238,3.476,0.753,0.109,489.0,10.78,,488.0
AL1933,14.888,3.726,1.525,0.046,0.625,654.1,7.24,B,471.6
AL1934,17.626,5.461,3.281,0.699,0.941,555.0,1.76,C,1059.6
AL1935,4.708,8.189,2.039,0.201,0.519,634.6,11.87,A,294.4
AL1936,7.901,7.138,2.679,0.655,0.799,518.8,,C,780.0
AL1937,9.762,9.236,3.009,0.571,0.988,649.0,7.5,B,524.4
AL1938,6.354,0.1,1.479,0.811,0.862,464.8,7.27,B,463.1
AL1939,5.953,8.916,1.973,0.994,0.447,549.7,0.55,B,883.9
AL1940,10.573,7.887,0.479,0.504,0.176,672.2,0.56,C,342.9
AL1941,3.752,2.386,0.471,0.835,0.26,450.4,9.56,B,237.8
AL1942,16.249,0.467,2.651,0.385,0.153,363.4,6.01,A,350.6
AL1943,2.608,10.736,3.246,0.21,0.94,382.2,5.08,A,344.5
AL1944,12.392,1.61,1.81,0.298,0.859,374.8,10.74,C,250.8
AL1945,4.148,6.692,3.672,0.354,0.069,561.8,8.08,C,526.1
AL1946,5.322,6.815,1.068,0.779,0.601,471.9,10.84,A,354.6
AL1947,10.494,9.528,3.074,0.123,0.953,477.4,9.71,A,560.9
AL1948,9.584,10.265,2.54,0.651,0.118,532.6,10.64,A,597.2
AL1949,16.43,8.546,0.331,0.045,0.964,554.7,3.44,A,1091.1
AL1950,9.316,3.48,2.622,0.29,0.346,617.0,5.39,B,495.2
AL1951,0.754,6.868,0.332,0.48,0.805,425.3,7.67,C,223.2
AL1952,16.029,10.18,1.037,0.406,0.563,544.2,1.7,A,997.3
AL1953,10.889,5.699,1.12,0.844,0.815,494.2,4.99,B,730.6
AL1954,10.825,6.271,2.509,0.976,0.217,366.6,8.06,A,378.9
AL1955,15.64,0.122,3.55,0.259,0.817,632.9,10.51,A,452.6
AL1956,14.133,3.744,1.419,0.746,0.677,598.4,2.85,B,725.5
AL1957,0.649,1.307,1.918,0.932,0.115,460.1,4.17,C,241.7
AL1958,14.453,10.115,,0.859,0.788,575.8,8.28,,872.7
AL1959,10.887,7.473,2.484,0.209,0.847,446.0,0.64,A,468.7
AL1960,12.116,0.261,1.949,0.683,0.095,523.7,7.39,B,602.4
AL1961,1.743,10.365,1.366,0.916,0.284,495.6,1.22,A,557.8
AL1962,15.319,1.154,0.208,0.386,0.659,542.2,2.48,A,915.4
AL1963,0.375,11.144,0.203,0.306,0.144,345.9,8.74,A,219.9
AL1964,1.327,3.049,1.158,0.994,0.826,400.8,8.26,B,211.6
AL1965,1.73,5.601,1.112,0.176,0.739,477.8,11.85,A,283.1
AL1966,14.622,3.763,2.955,0.092,0.616,620.5,,A,597.0
AL1967,8.957,4.327,1.29,0.355,0.304,594.0,8.62,B,563.5
AL1968,7.54,6.316,2.621,0.557,0.785,523.9,4.86,A,847.9
AL1969,9.146,5.467,3.68,0.94,0.163,412.4,1.03,B,392.1
AL1970,14.511,1.084,3.805,0.21,0.307,437.8,8.44,A,358.8
AL1971,16.347,0.293,0.917,0.187,0.619,420.1,5.23,A,392.9
AL1972,5.295,1.734,2.773,0.823,0.418,361.5,1.79,B,342.4
AL1973,14.463,1.578,2.431,0.799,0.951,623.2,8.22,A,570.3
AL1974,6.169,11.024,1.279,0.136,0.444,550.1,4.49,A,820.1
AL1975,10.25,7.199,,0.519,0.406,561.3,1.65,C,789.2
AL1976,0.008,11.461,2.582,0.24,0.624,306.4,11.26,A,182.9
AL1977,17.287,8.433,2.601,0.45,0.428,368.4,11.85,B,351.3
AL1978,15.825,1.046,0.075,0.79,0.728,331.8,2.16,B,439.0
AL1979,17.957,5.81,1.463,0.361,0.572,349.4,9.65,A,354.7
AL1980,13.036,0.966,3.813,0.846,0.683,601.0,1.84,A,687.7
AL1981,9.029,10.283,3.653,0.248,0.926,391.8,8.24,C,358.4
AL1982,3.282,3.455,3.219,0.066,0.149,443.3,2.56,C,261.7
AL1983,5.768,3.785,3.932,0.776,0.302,416.8,3.0,B,388.7
AL1984,3.595,3.44,1.301,0.953,0.449,574.2,2.99,A,689.5
AL1985,15.038,0.078,3.013,0.209,0.743,529.2,4.45,C,861.2
AL1986,2.624,6.227,0.346,0.409,0.196,540.1,0.88,A,607.0
AL1987,6.163,5.682,0.988,0.409,0.943,363.9,0.66,A,335.5
AL1988,9.45,3.622,0.114,0.72,0.656,355.9,9.46,B,296.2
AL1989,6.845,7.036,3.403,0.854,0.71,499.5,2.75,A,688.5
AL1990,4.296,6.893,1.584,0.272,0.386,391.0,0.71,B,345.1
AL1991,12.175,1.955,1.72,0.624,0.654,420.8,1.51,A,358.4
AL1992,8.856,1.179,0.729,0.289,0.582,580.0,6.22,A,717.9
AL1993,15.671,5.123,1.721,0.198,0.137,671.6,4.39,B,423.8
AL1994,9.139,9.965,1.255,0.782,0.236,519.0,11.31,A,605.3
AL1995,12.145,1.314,2.88,0.579,0.599,674.7,,A,360.8
AL1996,0.306,9.731,0.738,0.138,0.171,583.5,6.69,B,555.1
AL1997,3.607,3.966,1.843,0.611,0.11,471.4,3.38,B,366.3
AL1998,3.587,11.769,1.077,0.092,0.467,363.8,8.07,A,221.1
AL1999,17.684,1.739,2.594,0.918,0.649,381.5,5.94,A,414.8
AL2000,15.097,3.499,,0.182,0.476,517.2,4.94,C,728.9
AL2001,10.451,6.377,2.282,0.188,0.237,630.5,4.47,B,477.1
AL2002,0.689,9.245,2.539,0.851,0.125,555.2,6.13,B,660.8
AL2003,13.116,0.501,2.083,0.93,0.934,553.6,3.14,A,993.2
AL2004,17.069,9.473,1.394,0.379,0.377,689.7,5.44,B,504.6
AL2005,2.175,2.795,0.277,0.968,0.181,306.0,1.5,B,295.3
AL2006,1.425,0.877,2.149,0.302,0.429,367.6,6.76,C,218.1
AL2007,12.457,2.591,2.091,0.527,0.987,582.3,5.43,B,953.7
AL2008,11.011,4.525,0.639,0.396,0.485,543.0,4.39,A,810.8
AL2009,14.421,6.641,0.531,0.661,0.216,667.9,6.64,C,362.9
AL2010,5.441,6.286,0.763,0.206,0.984,429.5,4.99,A,330.6
AL2011,1.461,7.756,3.813,0.666,0.986,662.2,5.97,C,370.1
AL2012,7.16,6.271,0.506,0.442,0.538,620.1,6.17,A,518.2
AL2013,16.694,4.952,1.648,0.251,0.66,577.7,11.94,C,695.5
AL2014,5.682,9.003,3.084,0.28,0.836,506.1,9.06,C,683.5
AL2015,13.078,6.987,0.919,0.205,0.286,638.7,11.31,A,348.9
AL2016,3.388,5.557,3.425,0.23,0.421,583.6,6.6,B,699.0
AL2017,4.339,1.343,0.229,0.831,0.579,423.5,1.42,C,237.5
AL2018,3.304,2.59,0.85,0.601,0.692,355.7,4.23,B,286.2
AL2019,1.368,10.75,3.637,0.24,0.774,628.6,4.96,C,452.5
AL2020,1.711,4.4,2.958,0.228,0.166,499.4,1.25,C,422.2
AL2021,0.366,6.508,3.948,0.351,0.535,559.5,4.45,A,781.6
AL2022,13.174,6.263,2.006,0.524,0.841,317.7,1.52,B,417.7
AL2023,17.049,9.1,2.492,0.277,0.689,467.5,2.25,B,694.7
AL2024,9.967,7.75,0.272,0.352,0.077,499.3,9.32,B,479.9
AL2025,13.468,5.61,1.164,0.439,0.083,433.9,7.06,A,340.1
AL2026,4.311,10.468,3.965,0.083,0.102,663.9,,C,351.8
AL2027,7.115,9.296,0.655,0.211,0.485,660.5,11.8,C,191.2
AL2028,0.518,8.023,2.007,0.721,0.958,610.5,7.14,B,640.8
AL2029,8.072,3.126,0.108,0.105,0.317,391.6,7.39,B,268.3
AL2030,3.723,7.533,1.57,0.947,0.363,639.4,11.79,A,264.0
AL2031,12.611,11.587,0.786,0.347,0.86,569.5,3.22,B,1035.7
AL2032,17.277,0.029,,0.491,0.399,678.7,0.98,C,316.9
AL2033,9.284,1.573,2.016,0.268,0.708,596.8,3.19,A,670.7
AL2034,1.374,3.284,3.334,0.695,0.688,463.9,,C,338.0
AL2035,13.342,11.202,2.5,0.986,0.828,435.0,5.09,B,588.4
AL2036,7.449,10.114,2.192,0.081,0.531,599.0,7.22,B,652.0
AL2037,3.035,7.314,0.315,0.622,0.593,606.4,1.65,C,532.2
AL2038,14.66,10.384,3.134,0.323,0.951,369.9,0.51,C,475.7
AL2039,17.158,8.819,2.171,0.883,0.054,642.1,8.94,B,482.6
AL2040,0.386,11.338,,0.713,0.421,401.1,0.51,A,363.1
AL2041,11.283,2.164,1.486,0.773,0.681,456.4,10.73,A,366.5
AL2042,1.389,6.922,0.314,0.27,0.05,658.2,2.23,C,236.6
AL2043,1.033,4.786,2.462,0.86,0.752,570.1,9.13,B,820.9
AL2044,14.917,0.426,1.063,0.541,0.34,687.7,6.02,B,410.3
AL2045,0.962,4.838,0.983,0.208,0.539,499.2,7.29,C,493.6
AL2046,2.176,11.793,3.071,0.899,0.908,429.6,2.3,,404.4
AL2047,12.855,8.617,1.694,0.636,0.433,318.1,5.74,C,347.9
AL2048,6.84,3.185,3.396,0.898,0.964,587.4,2.8,B,892.6
AL2049,7.916,6.483,,0.513,0.988,596.5,8.15,C,717.5
AL2050,5.132,6.517,3.273,0.613,0.9,312.2,10.65,C,202.3
AL2051,7.787,6.529,3.282,0.131,0.754,319.6,9.18,B,311.2
AL2052,17.229,9.53,2.718,0.151,0.865,450.5,5.11,C,537.2
AL2053,5.434,7.582,0.719,0.237,0.263,488.0,7.5,B,452.7
AL2054,6.917,2.219,1.51,0.773,0.155,631.5,2.08,C,362.1
AL2055,15.226,7.489,0.806,0.866,0.73,310.6,4.66,C,414.1
AL2056,3.892,11.256,0.288,0.414,0.831,490.5,6.18,A,616.7
AL2057,3.012,3.659,0.966,0.208,0.349,519.4,2.6,A,611.2
AL2058,13.073,0.056,1.118,0.516,0.345,533.1,4.28,A,766.3
AL2059,15.174,0.499,1.142,0.417,0.144,672.7,11.69,B,251.9
AL2060,4.209,7.039,2.331,0.977,0.924,515.7,0.93,B,895.4
AL2061,7.547,10.524,0.397,0.352,0.749,545.4,5.04,B,960.1
AL2062,8.636,1.985,0.179,0.082,0.688,622.4,,A,346.8
AL2063,4.223,8.816,3.572,0.674,0.68,394.3,1.8,C,332.0
AL2064,8.34,1.06,1.888,0.738,0.507,545.4,7.35,A,756.5
AL2065,13.517,1.123,3.022,0.57,0.279,523.2,,B,764.1
AL2066,0.583,1.477,2.154,0.731,0.794,695.7,1.05,A,263.8
AL2067,11.18,5.64,3.532,0.039,0.068,433.3,1.07,A,382.5
AL2068,2.721,1.635,1.917,0.59,0.656,644.2,2.21,A,308.3
AL2069,4.039,9.402,3.554,0.565,0.445,365.3,5.53,B,369.3
AL2070,11.95,3.436,1.865,0.783,0.144,643.1,3.96,B,455.9
AL2071,1.655,10.062,1.623,0.133,0.549,516.2,7.6,C,629.3
AL2072,17.04,0.135,0.825,0.555,0.981,463.8,3.44,A,518.0
AL2073,13.15,1.351,0.046,0.587,0.137,394.7,7.08,B,332.3
